AD_num,reported,candidate,party,votes,scrape_time
AD   62,99.00%,Marty Dolan,(Democratic),1261,2025-07-02_13:52:53.292283
AD   62,99.00%,Jenifer Rajkumar,(Democratic),941,2025-07-02_13:52:53.292283
AD   62,99.00%,WRITE-IN,,60,2025-07-02_13:52:53.292283
AD   63,97.25%,Jumaane D. Williams,(Democratic),5083,2025-07-02_13:52:53.292283
AD   63,97.25%,Marty Dolan,(Democratic),1425,2025-07-02_13:52:53.292283
AD   63,97.25%,Jenifer Rajkumar,(Democratic),1703,2025-07-02_13:52:53.292283
AD   63,97.25%,WRITE-IN,,96,2025-07-02_13:52:53.292283
AD   64,98.99%,Jumaane D. Williams,(Democratic),4418,2025-07-02_13:52:53.292283
AD   64,98.99%,Marty Dolan,(Democratic),1398,2025-07-02_13:52:53.292283
AD   64,98.99%,Jenifer Rajkumar,(Democratic),1491,2025-07-02_13:52:53.292283
AD   64,98.99%,WRITE-IN,,69,2025-07-02_13:52:53.292283
AD   65,98.88%,Jumaane D. Williams,(Democratic),11538,2025-07-02_13:52:53.292283
AD   65,98.88%,Marty Dolan,(Democratic),1639,2025-07-02_13:52:53.292283
AD   65,98.88%,Jenifer Rajkumar,(Democratic),3916,2025-07-02_13:52:53.292283
AD   65,98.88%,WRITE-IN,,93,2025-07-02_13:52:53.292283
AD   66,98.94%,Jumaane D. Williams,(Democratic),15828,2025-07-02_13:52:53.292283
AD   66,98.94%,Marty Dolan,(Democratic),2592,2025-07-02_13:52:53.292283
AD   66,98.94%,Jenifer Rajkumar,(Democratic),5147,2025-07-02_13:52:53.292283
AD   66,98.94%,WRITE-IN,,129,2025-07-02_13:52:53.292283
AD   67,96.84%,Jumaane D. Williams,(Democratic),16626,2025-07-02_13:52:53.292283
AD   67,96.84%,Marty Dolan,(Democratic),3342,2025-07-02_13:52:53.292283
AD   67,96.84%,Jenifer Rajkumar,(Democratic),7277,2025-07-02_13:52:53.292283
AD   67,96.84%,WRITE-IN,,206,2025-07-02_13:52:53.292283
AD   68,97.80%,Jumaane D. Williams,(Democratic),11885,2025-07-02_13:52:53.292283
AD   68,97.80%,Marty Dolan,(Democratic),1407,2025-07-02_13:52:53.292283
AD   68,97.80%,Jenifer Rajkumar,(Democratic),2755,2025-07-02_13:52:53.292283
AD   68,97.80%,WRITE-IN,,102,2025-07-02_13:52:53.292283
AD   69,96.77%,Jumaane D. Williams,(Democratic),19947,2025-07-02_13:52:53.292283
AD   69,96.77%,Marty Dolan,(Democratic),2473,2025-07-02_13:52:53.292283
AD   69,96.77%,Jenifer Rajkumar,(Democratic),5764,2025-07-02_13:52:53.292283
AD   69,96.77%,WRITE-IN,,150,2025-07-02_13:52:53.292283
AD   70,87.63%,Jumaane D. Williams,(Democratic),15891,2025-07-02_13:52:53.292283
AD   70,87.63%,Marty Dolan,(Democratic),952,2025-07-02_13:52:53.292283
AD   70,87.63%,Jenifer Rajkumar,(Democratic),2338,2025-07-02_13:52:53.292283
AD   70,87.63%,WRITE-IN,,105,2025-07-02_13:52:53.292283
AD   71,89.52%,Jumaane D. Williams,(Democratic),15863,2025-07-02_13:52:53.292283
AD   71,89.52%,Marty Dolan,(Democratic),1170,2025-07-02_13:52:53.292283
AD   71,89.52%,Jenifer Rajkumar,(Democratic),2580,2025-07-02_13:52:53.292283
AD   71,89.52%,WRITE-IN,,90,2025-07-02_13:52:53.292283
AD   72,96.43%,Jumaane D. Williams,(Democratic),9336,2025-07-02_13:52:53.292283
AD   72,96.43%,Marty Dolan,(Democratic),1101,2025-07-02_13:52:53.292283
AD   72,96.43%,Jenifer Rajkumar,(Democratic),1865,2025-07-02_13:52:53.292283
AD   72,96.43%,WRITE-IN,,57,2025-07-02_13:52:53.292283
AD   73,93.55%,Jumaane D. Williams,(Democratic),10682,2025-07-02_13:52:53.292283
AD   73,93.55%,Marty Dolan,(Democratic),3806,2025-07-02_13:52:53.292283
AD   73,93.55%,Jenifer Rajkumar,(Democratic),6510,2025-07-02_13:52:53.292283
AD   73,93.55%,WRITE-IN,,209,2025-07-02_13:52:53.292283
AD   74,94.06%,Jumaane D. Williams,(Democratic),13424,2025-07-02_13:52:53.292283
AD   74,94.06%,Marty Dolan,(Democratic),2240,2025-07-02_13:52:53.292283
AD   74,94.06%,Jenifer Rajkumar,(Democratic),4278,2025-07-02_13:52:53.292283
AD   74,94.06%,WRITE-IN,,151,2025-07-02_13:52:53.292283
AD   75,96.70%,Jumaane D. Williams,(Democratic),13274,2025-07-02_13:52:53.292283
AD   75,96.70%,Marty Dolan,(Democratic),2573,2025-07-02_13:52:53.292283
